Thread ID: 1624 | Owner PID: 1168
Thread ID: 1636 | Owner PID: 1168
Thread ID: 1792 | Owner PID: 1168
Thread ID: 1796 | Owner PID: 1168
Thread ID: 1800 | Owner PID: 1168
Thread ID: 1804 | Owner PID: 1168
Thread ID: 1992 | Owner PID: 1168
Thread ID: 1320 | Owner PID: 1168
Thread ID: 2196 | Owner PID: 1168
Thread ID: 2204 | Owner PID: 1168
Thread ID: 2432 | Owner PID: 1168
Thread ID: 7316 | Owner PID: 1168
Thread ID: 368 | Owner PID: 1168
Thread ID: 13204 | Owner PID: 1168
Thread ID: 4604 | Owner PID: 1168
Thread ID: 14640 | Owner PID: 1168
Thread ID: 3236 | Owner PID: 1168
Thread ID: 1236 | Owner PID: 1232
Thread ID: 9440 | Owner PID: 1232
Thread ID: 2792 | Owner PID: 1232
Thread ID: 13676 | Owner PID: 1232
Thread ID: 10232 | Owner PID: 1232
Thread ID: 13588 | Owner PID: 1232
Thread ID: 12144 | Owner PID: 1232
Thread ID: 12660 | Owner PID: 1232
Thread ID: 4376 | Owner PID: 1232
Thread ID: 1020 | Owner PID: 1232
Thread ID: 1484 | Owner PID: 1232
Thread ID: 1256 | Owner PID: 1252
Thread ID: 1312 | Owner PID: 1252
Thread ID: 1324 | Owner PID: 1252
Thread ID: 1384 | Owner PID: 1380
Thread ID: 1528 | Owner PID: 1380
Thread ID: 1536 | Owner PID: 1380
Thread ID: 1412 | Owner PID: 1408
Thread ID: 1420 | Owner PID: 1416
Thread ID: 1496 | Owner PID: 1416
Thread ID: 1432 | Owner PID: 1428
Thread ID: 1440 | Owner PID: 1436
Thread ID: 1516 | Owner PID: 1436
Thread ID: 1616 | Owner PID: 1436
Thread ID: 1668 | Owner PID: 1436
Thread ID: 4872 | Owner PID: 1436
Thread ID: 6344 | Owner PID: 1436
Thread ID: 4632 | Owner PID: 1436
Thread ID: 14344 | Owner PID: 1436
Thread ID: 13328 | Owner PID: 1436
Thread ID: 5228 | Owner PID: 1436
Thread ID: 13752 | Owner PID: 1436
Thread ID: 1572 | Owner PID: 1568
Thread ID: 1620 | Owner PID: 1568
Thread ID: 1692 | Owner PID: 1568
Thread ID: 988 | Owner PID: 1568
Thread ID: 9912 | Owner PID: 1568
Thread ID: 836 | Owner PID: 1568
Thread ID: 1644 | Owner PID: 1640
Thread ID: 1704 | Owner PID: 1640
Thread ID: 1652 | Owner PID: 1648
Thread ID: 8488 | Owner PID: 1648
Thread ID: 1068 | Owner PID: 1648
Thread ID: 1716 | Owner PID: 1712
Thread ID: 1840 | Owner PID: 1712
Thread ID: 7308 | Owner PID: 1712
Thread ID: 1740 | Owner PID: 1736
Thread ID: 1696 | Owner PID: 1736
Thread ID: 1708 | Owner PID: 1736
Thread ID: 2104 | Owner PID: 1736
Thread ID: 2484 | Owner PID: 1736
Thread ID: 1444 | Owner PID: 1736
Thread ID: 7640 | Owner PID: 1736
Thread ID: 14700 | Owner PID: 1736
Thread ID: 3828 | Owner PID: 1736
Thread ID: 10160 | Owner PID: 1736
Thread ID: 8648 | Owner PID: 1736
Thread ID: 10216 | Owner PID: 1736
Thread ID: 6720 | Owner PID: 1736
Thread ID: 1900 | Owner PID: 1896
Thread ID: 2024 | Owner PID: 2020
Thread ID: 2096 | Owner PID: 2020
Thread ID: 2272 | Owner PID: 2020
Thread ID: 2276 | Owner PID: 2020
Thread ID: 2280 | Owner PID: 2020
Thread ID: 6300 | Owner PID: 2020
Thread ID: 1916 | Owner PID: 1908
Thread ID: 2288 | Owner PID: 1908
Thread ID: 2748 | Owner PID: 1908
Thread ID: 4476 | Owner PID: 1908
Thread ID: 2060 | Owner PID: 2056
Thread ID: 2140 | Owner PID: 2056
Thread ID: 9496 | Owner PID: 2056
Thread ID: 11376 | Owner PID: 2056
Thread ID: 9876 | Owner PID: 2056
Thread ID: 8904 | Owner PID: 2056
Thread ID: 2080 | Owner PID: 2076
Thread ID: 2172 | Owner PID: 2076
Thread ID: 11948 | Owner PID: 2076
Thread ID: 2228 | Owner PID: 2224
Thread ID: 2236 | Owner PID: 2232
Thread ID: 2580 | Owner PID: 2232
Thread ID: 2584 | Owner PID: 2232
Thread ID: 2588 | Owner PID: 2232
Thread ID: 2592 | Owner PID: 2232
Thread ID: 5524 | Owner PID: 2232
Thread ID: 5544 | Owner PID: 2232
Thread ID: 4268 | Owner PID: 2232
Thread ID: 5640 | Owner PID: 2232
Thread ID: 5632 | Owner PID: 2232
Thread ID: 4796 | Owner PID: 2232
Thread ID: 5568 | Owner PID: 2232
Thread ID: 4868 | Owner PID: 2232
Thread ID: 9984 | Owner PID: 2232
Thread ID: 10008 | Owner PID: 2232
Thread ID: 10028 | Owner PID: 2232
Thread ID: 10032 | Owner PID: 2232
Thread ID: 8776 | Owner PID: 2232
Thread ID: 9656 | Owner PID: 2232
Thread ID: 8044 | Owner PID: 2232
Thread ID: 9240 | Owner PID: 2232
Thread ID: 10384 | Owner PID: 2232
Thread ID: 13336 | Owner PID: 2232
Thread ID: 14756 | Owner PID: 2232
Thread ID: 2532 | Owner PID: 2232
Thread ID: 452 | Owner PID: 2232
Thread ID: 4848 | Owner PID: 2232
Thread ID: 10492 | Owner PID: 2232
Thread ID: 476 | Owner PID: 2232
Thread ID: 5308 | Owner PID: 2232
Thread ID: 10672 | Owner PID: 2232
Thread ID: 10720 | Owner PID: 2232
Thread ID: 12160 | Owner PID: 2232
Thread ID: 8952 | Owner PID: 2232
Thread ID: 2268 | Owner PID: 2264
Thread ID: 2404 | Owner PID: 2264
Thread ID: 2428 | Owner PID: 2264
Thread ID: 2436 | Owner PID: 2264
Thread ID: 2440 | Owner PID: 2264
Thread ID: 980 | Owner PID: 2264
Thread ID: 13664 | Owner PID: 2264
Thread ID: 13468 | Owner PID: 2264
Thread ID: 1932 | Owner PID: 2264
Thread ID: 10000 | Owner PID: 2264
Thread ID: 10368 | Owner PID: 2264
Thread ID: 11232 | Owner PID: 2264
Thread ID: 2296 | Owner PID: 2292
Thread ID: 9872 | Owner PID: 2292
Thread ID: 2372 | Owner PID: 2368
Thread ID: 2468 | Owner PID: 2368
Thread ID: 2472 | Owner PID: 2368
Thread ID: 2500 | Owner PID: 2368
Thread ID: 3564 | Owner PID: 2368
Thread ID: 5512 | Owner PID: 2368
Thread ID: 2380 | Owner PID: 2376
Thread ID: 2560 | Owner PID: 2376
Thread ID: 2540 | Owner PID: 2536
Thread ID: 2568 | Owner PID: 2536
Thread ID: 2608 | Owner PID: 2536
Thread ID: 8608 | Owner PID: 2536
Thread ID: 6724 | Owner PID: 2536
Thread ID: 2636 | Owner PID: 2632
Thread ID: 12492 | Owner PID: 2632
Thread ID: 13904 | Owner PID: 2632
Thread ID: 1136 | Owner PID: 2632
Thread ID: 2660 | Owner PID: 2656
Thread ID: 5360 | Owner PID: 2656
Thread ID: 1208 | Owner PID: 2656
Thread ID: 4112 | Owner PID: 2656
Thread ID: 15192 | Owner PID: 2656
Thread ID: 14104 | Owner PID: 2656
Thread ID: 3744 | Owner PID: 2656
Thread ID: 1076 | Owner PID: 2656
Thread ID: 2768 | Owner PID: 2764
Thread ID: 2832 | Owner PID: 2764
Thread ID: 2844 | Owner PID: 2764
Thread ID: 2852 | Owner PID: 2764
Thread ID: 5356 | Owner PID: 2764
Thread ID: 7352 | Owner PID: 2764
Thread ID: 5412 | Owner PID: 2764
Thread ID: 12612 | Owner PID: 2764
Thread ID: 2800 | Owner PID: 2796
Thread ID: 2948 | Owner PID: 2796
Thread ID: 5352 | Owner PID: 2796
Thread ID: 12056 | Owner PID: 2796
Thread ID: 2808 | Owner PID: 2804
Thread ID: 2936 | Owner PID: 2932
Thread ID: 2980 | Owner PID: 2932
Thread ID: 3044 | Owner PID: 3040
Thread ID: 1768 | Owner PID: 3040
Thread ID: 588 | Owner PID: 3040
Thread ID: 3972 | Owner PID: 3040
Thread ID: 3976 | Owner PID: 3040
Thread ID: 4076 | Owner PID: 3040
